City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
402,Qui Nhon,VN,76.84,clear sky,13.7667,109.2333,Seagull Hotel
406,Port-Gentil,GA,78.76,scattered clouds,-0.7193,8.7815,Fengshui Residence
422,Puerto Narino,CO,79.95,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
424,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Pirineos
426,Pathein,MM,75.49,broken clouds,16.7833,94.7333,Pathein Hotel
434,Finschhafen,PG,80.83,overcast clouds,-6.6024,147.8681,Oasis Gagidu Ltd
435,Rocha,UY,84.56,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
444,Lagos,NG,84.52,overcast clouds,6.5833,3.75,
445,Sao Felix Do Xingu,BR,84.67,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
447,Porto Novo,BJ,84.02,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
448,Kirakira,SB,78.39,broken clouds,-10.4544,161.9205,SanBiz Lodge
456,Vao,NC,75.6,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
457,Vila Velha,BR,78.75,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
466,Palauig,PH,80.69,broken clouds,15.435,119.9045,Villa Raphael Resort
468,Celestun,MX,81.81,light rain,20.8667,-90.4,Posada Lilia
470,Sola,VU,81.43,clear sky,-13.8833,167.55,Leumerus Bungalows
479,Olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
480,Sorong,ID,79.97,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
483,Bengkulu,ID,75.87,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
490,Srandakan,ID,75.9,moderate rain,-7.9386,110.2506,Puri Brata
492,Seybaplaya,MX,84.45,broken clouds,19.65,-90.6667,sala de fiesta san Rafael
498,Wajir,KE,87.62,broken clouds,1.7471,40.0573,Mahatallah Hotel
507,Mkuranga,TZ,79.79,scattered clouds,-7.118,39.2078,Vikindu
512,Gondanglegi,ID,75.15,overcast clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
514,Meulaboh,ID,75.63,overcast clouds,4.1363,96.1285,Kost Pria
516,Cartagena,CO,78.42,heavy intensity rain,10.3997,-75.5144,Hotel Colombia Real - Cartagena
519,Matadi,CD,78.08,light rain,-5.8167,13.45,Hotel Vivi Palace
520,Kununurra,AU,80.58,scattered clouds,-15.7667,128.7333,Hotel Kununurra
527,Guarapari,BR,76.89,overcast clouds,-20.6667,-40.4975,Hotel Porto do Sol
530,Rawson,AR,79.5,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
538,Anito,PH,75.94,overcast clouds,12.4497,125.2886,El Felix Cottages
543,Phan Thiet,VN,76.05,overcast clouds,10.9333,108.1,Hotel Saigon-PT
547,Malakal,SS,81.59,clear sky,9.5334,31.6605,Nile Palace Hotel
553,Lorengau,PG,80.62,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
556,Macae,BR,82.15,few clouds,-22.3708,-41.7869,Golden Tulip Macaé
557,Kualakapuas,ID,75.18,moderate rain,-3.0091,114.3876,Guest House Izonk
558,Kahului,US,77.85,few clouds,20.8947,-156.47,Maui Seaside Hotel
567,Bontang,ID,77.76,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
568,Prado,BR,75.79,overcast clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
569,Tubuala,PA,80.2,moderate rain,9.5167,-79.0333,
571,Cairns,AU,76.06,clear sky,-16.9167,145.7667,Mantra Trilogy Cairns
576,Adrar,MR,78.4,clear sky,20.5022,-10.0711,
581,Itarema,BR,85.33,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
591,Raga,SS,79.77,scattered clouds,8.4596,25.678,
607,Cayenne,GF,89.64,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
618,Iracoubo,GF,84.4,broken clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
619,Maxixe,MZ,75.22,clear sky,-23.8597,35.3472,Oceano
621,Mapiripan,CO,85.89,overcast clouds,2.8892,-72.1256,Monserrate
624,Ambilobe,MG,75.51,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
628,Sao Filipe,CV,78.85,broken clouds,14.8961,-24.4956,Hotel Xaguate
630,Samarai,PG,82.42,overcast clouds,-10.6167,150.6667,Nuli Sapi
635,Wailuku,US,76.96,few clouds,20.8911,-156.5047,Maui Beach Hotel
636,Buraydah,SA,75.65,overcast clouds,26.326,43.975,Mövenpick Qassim
643,Luganville,VU,77.76,clear sky,-15.5333,167.1667,The Espiritu Hotel
644,Kendari,ID,76.03,overcast clouds,-3.945,122.4989,Hotel Wixel
645,Xai-Xai,MZ,75.83,clear sky,-25.0519,33.6442,Complexo da Familia
654,Manjacaze,MZ,76.84,clear sky,-24.7117,33.8828,Hotel Gani
656,Nokaneng,BW,85.82,clear sky,-19.6667,22.2667,
668,Merauke,ID,79.54,overcast clouds,-8.4667,140.3333,
669,Uyo,NG,75.43,light rain,5.0333,7.9266,Economy Lodge
671,Micheweni,TZ,79.03,clear sky,-4.9667,39.8333,
680,Acapulco,MX,84.49,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
682,Palmas Bellas,PA,84.34,moderate rain,9.2319,-80.0867,Antigua Residencia Galván
683,Shakawe,BW,83.32,clear sky,-18.3667,21.85,EdenWood Lodge
691,Praia,CV,86.54,few clouds,14.9215,-23.5087,LT Aparthotel
692,Akyab,MM,75.33,clear sky,20.15,92.9,ဟိုတယ် မန်မိုရီ
